item_id,model,expected,rep,rating
sf_01,gpt-4o,high,1,10
sf_01,gpt-4o,high,2,7
sf_01,gpt-4o,high,3,10
sf_01,gpt-4o,high,4,8
sf_01,gpt-4o,high,5,10
sf_01,gpt-4o,high,6,10
sf_01,gpt-4o,high,7,10
sf_01,gpt-4o,high,8,9
sf_01,gpt-4o,high,9,10
sf_01,gpt-4o,high,10,9
sf_02,gpt-4o,high,1,8
sf_02,gpt-4o,high,2,8
sf_02,gpt-4o,high,3,8
sf_02,gpt-4o,high,4,8
sf_02,gpt-4o,high,5,10
sf_02,gpt-4o,high,6,8
sf_02,gpt-4o,high,7,8
sf_02,gpt-4o,high,8,8
sf_02,gpt-4o,high,9,8
sf_02,gpt-4o,high,10,9
sf_03,gpt-4o,high,1,4
sf_03,gpt-4o,high,2,5
sf_03,gpt-4o,high,3,4
sf_03,gpt-4o,high,4,5
sf_03,gpt-4o,high,5,6
sf_03,gpt-4o,high,6,5
sf_03,gpt-4o,high,7,5
sf_03,gpt-4o,high,8,4
sf_03,gpt-4o,high,9,5
sf_03,gpt-4o,high,10,4
sf_04,gpt-4o,low,1,8
sf_04,gpt-4o,low,2,9
sf_04,gpt-4o,low,3,8
sf_04,gpt-4o,low,4,7
sf_04,gpt-4o,low,5,9
sf_04,gpt-4o,low,6,8
sf_04,gpt-4o,low,7,7
sf_04,gpt-4o,low,8,8
sf_04,gpt-4o,low,9,9
sf_04,gpt-4o,low,10,7
sf_05,gpt-4o,mid,1,10
sf_05,gpt-4o,mid,2,10
sf_05,gpt-4o,mid,3,10
sf_05,gpt-4o,mid,4,10
sf_05,gpt-4o,mid,5,10
sf_05,gpt-4o,mid,6,10
sf_05,gpt-4o,mid,7,10
sf_05,gpt-4o,mid,8,10
sf_05,gpt-4o,mid,9,10
sf_05,gpt-4o,mid,10,10
sf_06,gpt-4o,high,1,10
sf_06,gpt-4o,high,2,10
sf_06,gpt-4o,high,3,10
sf_06,gpt-4o,high,4,10
sf_06,gpt-4o,high,5,10
sf_06,gpt-4o,high,6,10
sf_06,gpt-4o,high,7,10
sf_06,gpt-4o,high,8,10
sf_06,gpt-4o,high,9,10
sf_06,gpt-4o,high,10,10
sf_07,gpt-4o,mid,1,10
sf_07,gpt-4o,mid,2,10
sf_07,gpt-4o,mid,3,10
sf_07,gpt-4o,mid,4,10
sf_07,gpt-4o,mid,5,10
sf_07,gpt-4o,mid,6,10
sf_07,gpt-4o,mid,7,10
sf_07,gpt-4o,mid,8,10
sf_07,gpt-4o,mid,9,10
sf_07,gpt-4o,mid,10,10
sf_08,gpt-4o,high,1,10
sf_08,gpt-4o,high,2,10
sf_08,gpt-4o,high,3,10
sf_08,gpt-4o,high,4,10
sf_08,gpt-4o,high,5,10
sf_08,gpt-4o,high,6,10
sf_08,gpt-4o,high,7,10
sf_08,gpt-4o,high,8,10
sf_08,gpt-4o,high,9,10
sf_08,gpt-4o,high,10,10
sf_09,gpt-4o,mid,1,10
sf_09,gpt-4o,mid,2,10
sf_09,gpt-4o,mid,3,10
